,,,Season Price & Arrival Report (2026-27),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Barley(Jau),2150.00,-,-,2058.70,210509.42
Cereals,Wheat,2585.00,-,-,2503.35,16711807.70
Oil Seeds,Copra,12100.00,-,-,22721.44,19351.40
Oil Seeds,Mustard,6200.00,-,-,6745.34,830279.90
Oil Seeds,Safflower,6540.00,-,-,7156.47,8881.34
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,-,5627.50,720646.34
Pulses,Black Gram(Urd Beans)(Whole),8200.00,-,-,8111.37,132273.63
Pulses,Green Gram(Moong)(Whole),8780.00,-,-,7221.04,506745.07
Pulses,Lentil(Masur)(Whole),7000.00,-,-,7161.22,137590.81

