Year,All-India/ State/ Union Territory,Number of societies,Membership (000 No.),Share Capital,Reserves,Deposits,Total borrowings,Total Working Capital,Loans issued during the year
2000-01,All-India,1987,19002,18737,72550,684831,16760,947298,472299
2001-02,All-India,1997,19862,20801,79141,739583,18959,998520,634762
2002-03,All-India,2107,18104,25366,119704,803880,21766,1084299,570945
2003-04,All-India,2097,14699,25796,140571,810931,19043,1210978,616017
2004-05,All-India,2059,14509,31117,155370,839077,15739,1180969,595052
2004-05,Andhra Pradesh,0,0,0,0,0,0,0,0
2004-05,Arunachal Pradesh,0,0,0,0,0,0,0,0
2004-05,Assam,251,149,507,27,114,31,2192,158
2004-05,Bihar,0,0,0,0,0,0,0,0
2004-05,Goa,7,0,233,1165,537,0,10254,1524
2004-05,Gujarat,323,3,7806,58433,116446,2849,211140,51969
2004-05,Haryana,9,55,76,117,1495,13,1744,1577
2004-05,Himachal Pradesh,5,13,18,37,818,2,960,1465
2004-05,Jammu & Kashmir,0,0,0,0,0,0,0,0
2004-05,Karnataka,287,1967,3197,8731,67738,1104,107773,48468
2004-05,Kerala,62,1294,783,2434,18658,316,28572,22023
2004-05,Madhya Pradesh,72,298,462,139,973,66,2726,857
2004-05,Maharashtra,635,7986,15411,73156,583316,9889,745798,431245
2004-05,Manipur,2,14,14,19,569,0,643,0
2004-05,Meghalaya,66,26,34,6,11,10,244,13
2004-05,Nagaland,0,0,0,0,0,0,0,0
2004-05,Orissa,8,141,192,290,4661,0,6024,7157
2004-05,Punjab,4,24,113,274,2836,0,3365,4002
2004-05,Rajasthan,167,478,1135,1435,13281,128,17918,7690
2004-05,Sikkim,0,0,0,0,0,0,0,0
2004-05,Tamil Nadu,123,1762,1013,8921,25270,1315,38631,16509
2004-05,Tripura,0,0,0,0,0,0,0,0
2004-05,Uttar Pradesh,38,299,124,186,2354,17,2985,395
2004-05,West Bengal,0,0,0,0,0,0,0,0
2004-05,Puducherry,0,0,0,0,0,0,0,0
