S.No,Year,Month,State,Occupation,Item,Men,Women
1,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Ploughing/Tilling workers",691.65,@
2,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",613.3099999999999,443.87
3,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",623.74,423.16
4,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",456.9,422.82
5,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",583.36,444.95
6,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-inland
",@,-
7,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
8,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Loggers and wood cutters
",631.14,-
9,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
10,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
11,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",599.4400000000001,433.71
12,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",896.83,-
13,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
14,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Loggers and wood cutters
",517.02,-
15,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",344.62,@
16,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
17,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",465.76,339.80
18,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",706.52,@
19,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Ploughing/Tilling workers",642.48,@
20,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",536.60,414.69
21,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",553.91,416.01
22,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",452.73,386.34
23,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",@,316.00
24,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-inland
",@,@
25,2024-2025,Jan,ASSAM,Agriculture,"Ploughing/Tilling workers",452.72,@
26,2024-2025,Jan,ASSAM,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",420.56,338.52
27,2024-2025,Jan,ASSAM,Agriculture,"Harvesting/Winnowing/Threshing workers
",408.04,332.78
28,2024-2025,Jan,ASSAM,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
29,2024-2025,Jan,ASSAM,Agriculture,"Horticulture workers (including nursery growers)
",-,342.22
30,2024-2025,Jan,ASSAM,Agriculture,"Fishermen-inland
",-,-
31,2024-2025,Jan,ASSAM,Agriculture,"Fishermen-coastal/deep-sea
",-,-
32,2024-2025,Jan,ASSAM,Agriculture,"Loggers and wood cutters
",383.00,-
33,2024-2025,Jan,ASSAM,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",298.33,-
34,2024-2025,Jan,ASSAM,Agriculture,"Packaging labourers, agriculture
",374.00,@
35,2024-2025,Jan,ASSAM,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",397.89,356.67
36,2024-2025,Jan,ASSAM,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",@,@
37,2025-2026,Jan,ASSAM,Agriculture,"Ploughing/Tilling workers",513.53,@
38,2025-2026,Jan,ASSAM,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",412.4,374.29
39,2025-2026,Jan,ASSAM,Agriculture,"Harvesting/Winnowing/Threshing workers
",462.13,387.18
40,2025-2026,Jan,ASSAM,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
41,2025-2026,Jan,ASSAM,Agriculture,"Horticulture workers (including nursery growers)
",436.01,340
42,2025-2026,Jan,ASSAM,Agriculture,"Fishermen-inland
",517.62,-
43,2025-2026,Jan,ASSAM,Agriculture,"Fishermen-coastal/deep-sea
",-,-
44,2025-2026,Jan,ASSAM,Agriculture,"Loggers and wood cutters
",468.79,-
45,2025-2026,Jan,ASSAM,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",446.09,473
46,2025-2026,Jan,ASSAM,Agriculture,"Packaging labourers, agriculture
",@,@
47,2025-2026,Jan,ASSAM,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",403.56,360.63
48,2025-2026,Jan,ASSAM,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",437.29,@
49,2025-2026,Jan,BIHAR,Agriculture,"Ploughing/Tilling workers",439.66,320
50,2025-2026,Jan,BIHAR,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",396.4,338.37
51,2025-2026,Jan,BIHAR,Agriculture,"Harvesting/Winnowing/Threshing workers
",390.72,336.33
52,2025-2026,Jan,BIHAR,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
53,2025-2026,Jan,BIHAR,Agriculture,"Horticulture workers (including nursery growers)
",344.44,291.67
54,2025-2026,Jan,BIHAR,Agriculture,"Fishermen-inland
",450,-
55,2025-2026,Jan,BIHAR,Agriculture,"Fishermen-coastal/deep-sea
",-,-
56,2025-2026,Jan,BIHAR,Agriculture,"Loggers and wood cutters
",529.1799999999999,-
57,2025-2026,Jan,BIHAR,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",376.82,@
58,2025-2026,Jan,BIHAR,Agriculture,"Packaging labourers, agriculture
",338.89,285
59,2025-2026,Jan,BIHAR,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",383.68,300
60,2025-2026,Jan,BIHAR,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",386.91,282.14
61,2024-2025,Jan,BIHAR,Agriculture,"Fishermen-coastal/deep-sea
",-,-
62,2024-2025,Jan,BIHAR,Agriculture,"Loggers and wood cutters
",485.46,-
63,2024-2025,Jan,BIHAR,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",310.66,301.67
64,2024-2025,Jan,BIHAR,Agriculture,"Packaging labourers, agriculture
",332.69,323.33
65,2024-2025,Jan,BIHAR,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",370.81,332.83
66,2024-2025,Jan,BIHAR,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",391.36,@
67,2024-2025,Jan,BIHAR,Agriculture,"Ploughing/Tilling workers",418.98,-
68,2024-2025,Jan,BIHAR,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",403.96,342.14
69,2024-2025,Jan,BIHAR,Agriculture,"Harvesting/Winnowing/Threshing workers
",387.86,343.34
70,2024-2025,Jan,BIHAR,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",360.90,@
71,2024-2025,Jan,BIHAR,Agriculture,"Horticulture workers (including nursery growers)
",301.17,264.52
72,2024-2025,Jan,BIHAR,Agriculture,"Fishermen-inland
",365.33,-
73,2024-2025,Jan,GUJARAT,Agriculture,"Ploughing/Tilling workers",353.62,288.00
74,2024-2025,Jan,GUJARAT,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",313.33,303.10
75,2024-2025,Jan,GUJARAT,Agriculture,"Harvesting/Winnowing/Threshing workers
",316.67,312.33
76,2024-2025,Jan,GUJARAT,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",308.00,306.00
77,2024-2025,Jan,GUJARAT,Agriculture,"Horticulture workers (including nursery growers)
",231.43,235.00
78,2024-2025,Jan,GUJARAT,Agriculture,"Fishermen-inland
",@,-
79,2024-2025,Jan,GUJARAT,Agriculture,"Fishermen-coastal/deep-sea
",-,-
80,2024-2025,Jan,GUJARAT,Agriculture,"Loggers and wood cutters
",385.77,@
81,2024-2025,Jan,GUJARAT,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",269.55,@
82,2024-2025,Jan,GUJARAT,Agriculture,"Packaging labourers, agriculture
",261.43,@
83,2024-2025,Jan,GUJARAT,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",292.37,291.47
84,2024-2025,Jan,GUJARAT,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",290.00,-
85,2025-2026,Jan,GUJARAT,Agriculture,"Ploughing/Tilling workers",408.78,374.17
86,2025-2026,Jan,GUJARAT,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",343.5,335.59
87,2025-2026,Jan,GUJARAT,Agriculture,"Harvesting/Winnowing/Threshing workers
",346.04,335.02
88,2025-2026,Jan,GUJARAT,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",344.77,332.07
89,2025-2026,Jan,GUJARAT,Agriculture,"Horticulture workers (including nursery growers)
",294.29,292
90,2025-2026,Jan,GUJARAT,Agriculture,"Fishermen-inland
",@,@
91,2025-2026,Jan,GUJARAT,Agriculture,"Fishermen-coastal/deep-sea
",-,-
92,2025-2026,Jan,GUJARAT,Agriculture,"Loggers and wood cutters
",419.25,368.57
93,2025-2026,Jan,GUJARAT,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",330.63,289.26
94,2025-2026,Jan,GUJARAT,Agriculture,"Packaging labourers, agriculture
",358.24,348.33
95,2025-2026,Jan,GUJARAT,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",331.67,297.63
96,2025-2026,Jan,GUJARAT,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",358.97,327.22
97,2025-2026,Jan,HARYANA,Agriculture,"Ploughing/Tilling workers",598.76,@
98,2025-2026,Jan,HARYANA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",614.48,542.5
