Sl. No.,State/UT,Number of Candidates Skill Trained,Number of Skilled Candidates Placed,Number of Beneficiaries assisted for setting up Individual/Group Micro Enterprises
1,Andaman and Nicobar Islands,143,0,6
2,Andhra Pradesh,82546,74182,100622
3,Arunachal Pradesh,4475,1665,77
4,Assam,34905,18816,6310
5,Bihar,37351,12945,13809
6,Chandigarh,7188,4285,410
7,Chhattisgarh,41778,16393,48823
8,Goa,6498,4808,272
9,Gujarat,106668,53012,29704
10,Haryana,34136,15483,7143
11,Himachal Pradesh,7102,3881,3871
12,Jammu and Kashmir,5264,1538,16355
13,Jharkhand,110660,51601,12002
14,Karnataka,19131,1732,25681
15,Kerala,22367,16825,14110
16,Ladakh,0,0,22
17,Madhya Pradesh,260321,164759,91453
18,Maharashtra,201199,106003,63559
19,Manipur,10734,9664,161
20,Meghalaya,2600,2101,149
21,Mizoram,10733,5136,2604
22,Nagaland,582,570,427
23,NCT of Delhi,1921,776,1209
24,Odisha,17026,4475,44577
25,Puducherry,3194,406,612
26,Punjab,74071,48170,12035
27,Rajasthan,51669,23589,32607
28,Sikkim,3294,340,35
29,Tamil Nadu,50744,44954,301017
30,Telangana,24484,17437,15821
31,Tripura,2146,783,2060
32,Uttar Pradesh,219998,120744,87041
33,Uttarakhand,20432,9815,9196
34,West Bengal,63865,25264,14210
Total,Total,1539225,862152,957990
