Category,Commodity,2013-2014 - Quantity,2013-2014 - Value (in Rs.)
Live Animals (in numbers),Live Animals (in numbers),156032,615549856
Live Animals (in numbers),"0101 Live Horses, Asses, Mules & Hinnies",127,236021868
Live Animals (in numbers),"0105 Live Poultry Fowls of the Species Gallus Domestics Ducks, Geese, Turkeys & Guinea",72908,134584742
Live Animals (in numbers),0106 Other Live Animals,82997,244943246
Meat and Edible Meat Offal (in kgs),Meat and Edible Meat Offal (in kgs),223186,118850365
Meat and Edible Meat Offal (in kgs),"0203 Meat of Swine, Fresh, Chilled or Frozen",113418,47268505
Meat and Edible Meat Offal (in kgs),"0204 Meat of Sheep or Goats, Fresh, Chilled or Frozen",59261,51331911
Meat and Edible Meat Offal (in kgs),"0207 Meat and Edible Offal of the Poultry, Fresh Chilled or Frozen",3255,820393
Meat and Edible Meat Offal (in kgs),"0208 Other Meat and Edible Meat Offal, Fresh, Chilled or Frozen",46402,19305955
Meat and Edible Meat Offal (in kgs),"0210 Meat/Edible Meat Offal, Salted in Brine, Dried/ Smoked; Edible Flours & Meals of Meat/Meat Offal",850,123601
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)","Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",10677895,2259216672
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0401 Milk & Cream Not Concentrated Nor Containing Added Sugar or Other Sweetening Matter,93356,20786887
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0402 Milk & Cream Concentrated/Containing Sugar/Sweetening Matter,871070,215317967
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)","0403 Butter Milk, Curdled Milk & Cream, Yogurt, Khir & Other Fermented Acidified Milk & Cream",114214,20825797
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0404 Whey & Products Consisting of Natural Milk Constituent Not Containing Added Sugar or Sweetening Matter.,7159865,1278137222
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0405 Butter and Other Fats & Oils Derived from Milk; Dairy Spreads,452896,100704596
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0406 Cheese and Curd,1282398,500783954
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)","0407 Birds Eggs, in Shell, Fresh Preserved or Cooked",359680,52057699
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)","0408 Birds Eggs, Not in Shell & Egg Yolks Fresh Dred, Cooked, Frozen or Otherwise Preserved",16993,2863439
"Dairy Produce; Birds' Eggs; Natural Honey; Edible Prod. of Animal Origin, Not Elsewhere Spec. or Included (in kgs)",0409 Natural Honey,327423,67739111
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),320989258,17394553286
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),2301 Flours Meals & Pellets Of Meat/Meat Offal Of Fish Crustiness Molasses/Other Aquatic Invertebrates Unfit for Human Consumption,11020418,938372430
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),2302 Bran Sharps & Other Residues W/N in the form of Pellets Derived From the Sifting Milling/Other Working of Cereals/of Leguminous Plants,104375857,1250822037
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),2303 Residues of Starch Manufacturing.,38000,1512274
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),2304 Oil-Cake & other Solid Residue in Pellets form Obtained from Soya-Bean Oil Extraction,274805,22721354
Residues and Waste from the Food Industries; Prepared Animal Fodder (in kgs),2305 Oil-Cake & other Solid Residue in Pellets form Obtained from ground nut Oil Extraction,193158,5963467
